time,meter,Ptot,Pr,Py,Pb,Pfavg,Pfr,Pfy,Pfb,St,Sr,Sy,Sb,Vlavg,Vry,Vyb,Vbr,Vlnavg,Vr,Vy,Vb,Itot,Ir,Iy,Ib,freq,Energy,vah
2022-09-23 00:00:00,6,7.218,0.0,-2.712,-4.506,-0.886,1.0,0.886,0.886,8.147,0.0,3.061,5.086,436.96,435.3,439.47,436.1,252.28,250.4,253.19,253.25,11.0,0.0,12.42,20.59,50.01,51020.572,54505.364
2022-09-23 00:01:00,6,7.294,0.0,-2.738,-4.555,-0.891,1.0,0.88,0.898,8.184,0.0,3.111,5.075,436.85,435.33,439.13,436.09,252.22,250.48,253.07,253.11,11.04,0.0,12.48,20.63,50.0,51020.692,54505.496
2022-09-23 00:02:00,6,7.199,0.0,-2.672,-4.527,-0.887,1.0,0.879,0.892,8.112,0.0,3.038,5.075,436.83,435.28,439.24,435.98,252.21,250.4,253.13,253.11,10.93,0.0,12.2,20.59,49.98,51020.808,54505.632
2022-09-23 00:03:00,6,7.91,0.0,-2.646,-5.264,-0.905,1.0,0.868,0.922,8.739,0.0,3.047,5.708,437.28,436.02,439.51,436.32,252.47,250.9,253.29,253.21,11.79,0.0,12.15,23.23,49.98,51020.936,54505.772
2022-09-23 00:04:00,6,7.984,0.0,-2.709,-5.275,-0.91,1.0,0.878,0.925,8.778,0.0,3.085,5.705,437.11,435.68,439.27,436.37,252.37,250.88,253.05,253.18,11.88,0.0,12.38,23.25,49.96,51021.064,54505.912
2022-09-23 00:05:00,6,8.037,0.0,-2.76,-5.277,-0.91,1.0,0.885,0.923,8.829,0.0,3.118,5.719,436.75,435.4,438.97,435.88,252.16,250.63,252.92,252.94,11.95,0.0,12.59,23.26,49.95,51021.2,54506.064
2022-09-23 00:06:00,6,8.029,0.0,-2.752,-5.276,-0.907,1.0,0.883,0.918,8.856,0.0,3.116,5.747,436.78,435.49,439.07,435.79,252.18,250.62,253.02,252.91,11.91,0.0,12.55,23.19,49.94,51021.332,54506.208
2022-09-23 00:07:00,6,7.305,0.0,-2.759,-4.546,-0.89,1.0,0.886,0.892,8.212,0.0,3.115,5.098,437.37,436.01,439.6,436.5,252.52,250.96,253.29,253.32,11.04,0.0,12.52,20.59,49.98,51021.464,54506.36
2022-09-23 00:08:00,6,7.171,0.0,-2.675,-4.496,-0.885,1.0,0.879,0.889,8.1,0.0,3.044,5.057,437.47,436.0,439.67,436.75,252.58,250.99,253.29,253.47,10.96,0.0,12.33,20.54,49.98,51021.588,54506.496
2022-09-23 00:09:00,6,7.144,0.0,-2.631,-4.513,-0.886,1.0,0.866,0.897,8.066,0.0,3.039,5.031,437.4,436.26,439.49,436.45,252.54,251.0,253.36,253.25,10.87,0.0,12.13,20.49,50.01,51021.712,54506.628
